WS,Element
Sesion5,BAR.Portal del Prado-2_M3
Sesion5,BAR.Prado-2_T2
Sesion5,BAR.Puerta de Oro (P1)_M2
Sesion5,BAR.Puerta de Oro (P2)_M3
Sesion5,BAR.RB Los Loteros:H1_T2
Sesion5,BAR.Rb Paraiso Romano:H1_M3
Sesion5,BAR.Soledad-8_T3
Sesion5,BOL.Morales_M2
Sesion5,BOL.RB Boca Canoa_T3
Sesion5,CAR.Camaguey_L3
Sesion5,CAR.ETCS Telmex_L2
Sesion5,CAR.Estadio-3_T2
Sesion5,CAR.Mamonal-10_L2
Sesion5,CAR.Terminal Reub_L3
Sesion5,CAR.Villa Lorena-4_M3
Sesion5,BAR.11 de Noviembre_M1
Sesion5,BAR.Brigada_M2
Sesion5,BAR.Delicias_M1
Sesion5,BAR.Parque Padilla (P2)_T3
Sesion5,BAR.Pelu_T1
Sesion5,BAR.Rb Paraiso Romano:H1_T3
Sesion5,BAR.Roberto Melendez (P1)_T3
Sesion5,BAR.Uninorte-2 (P1)_M3
Sesion5,BAR.Villa Selene_T2
Sesion5,BAR.Zona Franca-2_M2
Sesion5,BOL.Boquilla_T2
Sesion5,BOL.Carmen Bolivar-2_L3
Sesion5,BOL.RB Boca Canoa_M1
Sesion5,CAR.Barcelona:H2_L3
Sesion5,CAR.Bocagrande-2:P1_R2
Sesion5,CAR.Bocagrande-3_T1
Sesion5,CAR.Bocagrande-6_T1
Sesion5,CAR.C Amurallado_M1
Sesion5,CAR.Casa Huespedes_L2
Sesion5,CAR.Cordialidad-2_M2
Sesion5,CAR.Crespo-2 (P2)_L3
Sesion5,CAR.Estadio_T1
Sesion5,CAR.Inem-2_L3
Sesion5,CAR.Las Americas_T2
Sesion5,CAR.Pedro Heredia_L2
Sesion5,CAR.Tamarindo-3_M2
Sesion5,BAR.Estadio Metro-2_T9
Sesion5,BAR.IND CAV Cordialidad_M1
Sesion5,BAR.Metropolitano-2_M2
Sesion5,BAR.Miramar-2_T2
Sesion5,BAR.Portal del Prado-2_L2
Sesion5,BAR.Prado-3:H4_L1
Sesion5,BAR.RB Campestre_L3
Sesion5,BAR.RB Granabastos:H2_L3
Sesion5,BAR.RB Los Loteros:H1_L1
Sesion5,BAR.Soledad 2000_T2
Sesion5,BAR.Uninorte_T3
Sesion5,BAR.Velodromo_L3
Sesion5,BOL.Isla Grande_M1
Sesion5,BOL.San Jacinto-3_L1
Sesion5,BOL.San Jacinto-3_T1
Sesion5,BOL.Turbaco-5_R1
Sesion5,CAR.Bazurto_M1
Sesion5,CAR.Bosque-2_T3
Sesion5,CAR.Crisanto Luque Reub_M1
Sesion5,CAR.El Dorado_T2
Sesion5,CAR.Pozon-2_M1
Sesion5,CAR.SDS Bosque_L3
Sesion5,CAR.Surtigas_T3
Sesion5,CAR.Terminal Reub_M2
Sesion5,BAR.Alboraya (P1)_T2
Sesion5,BAR.Calle 72_L3
Sesion5,BAR.Castillo_L1
Sesion5,BAR.Circunvalar-1 (P1)_T2
Sesion5,BAR.Concepcion-2 (P1)_L2
Sesion5,BAR.Exito-2 (P2)_L3
Sesion5,BAR.IND CC Viva Barranquilla_L3
Sesion5,BAR.RB Los Trupillos:H1_T2
Sesion5,BAR.Santamaria_R1
Sesion5,BAR.Springfield:H3_T1
Sesion5,BOL.Hatillo de Loba_T3
Sesion5,BOL.Magangue-3_M1
Sesion5,BOL.Magangue-9_L3
Sesion5,BOL.Mompox-3_T2
Sesion5,BOL.Turbaco-1_L2
Sesion5,CAR.Cadetes (P1)_T2
Sesion5,CAR.Complejo Raquetas_L2
Sesion5,CAR.El Dorado_M2
Sesion5,CAR.El Pozon_M2
Sesion5,CAR.IND Editora del Mar_L1
Sesion5,CAR.Mamonal-13_M3
Sesion5,CAR.Mamonal-2 (P1)_R2
Sesion5,CAR.Mamonal-2_T3
Sesion5,CAR.Perimetral Reub_R1
Sesion5,CAR.Plazuela_T1
Sesion5,CAR.RB Base Naval_R1
Sesion5,CAR.Santa Lucia-2_L3
Sesion5,BAR.Aeropuerto-3_T1
Sesion5,BAR.Batalla de Flores-3 REU_T1
Sesion5,BAR.CCM:H2_L3
Sesion5,BAR.Estadio Metro_M1
Sesion5,BAR.Los Robles_M3
Sesion5,BAR.Paraiso_M3
Sesion5,BAR.Parque Rosado (P3)_M2
Sesion5,BAR.Parque Rosado (P3)_T2
Sesion5,BAR.Rb El Bosque_L1
Sesion5,BAR.Rb Paraiso Romano:H1_L1
Sesion5,BAR.Silencio:H2_T3
Sesion5,BAR.Villa Selene_T3
Sesion5,BOL.Arjona-2_T3
Sesion5,BOL.Magangue-2_L3
Sesion5,BOL.Malagana_T3
Sesion5,BOL.Turbana_L2
Sesion5,CAR.Blas Delezo_L3
Sesion5,CAR.Bocagrande-2:P1_M1
Sesion5,CAR.Bosque-2_L1
Sesion5,CAR.C Amurallado_M3
